event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_cov95,rate_width90,rate_width95,spearman,mae_lap,lap_cov90
austria-2026,sealed_driver,40,0.03435180177849676,-0.018577303932433415,0.925,0.975,0.181018031443404,0.2161934377437012,0.12169262740063069,0.35454561202180496,0.9475465313028765
austria-2026,sealed_driver_hist,40,0.03435180177849676,-0.018577303932433415,0.925,0.975,0.181018031443404,0.2161934377437012,0.12169262740063069,0.35454561202180496,0.9475465313028765
austria-2026,sealed_driver_practice_dev,40,0.031525005003426566,-0.013328560821426532,0.975,1.0,0.17656007215450437,0.21084148704750963,0.04616900732289241,0.35454561202180496,0.9475465313028765
austria-2026,sealed_driver_team_pooled,40,0.03155184666424583,-0.013292096572423695,0.975,1.0,0.17652887773514792,0.2108041864655686,0.024960121097832674,0.35454561202180496,0.9475465313028765
austria-2026,history_only,35,0.02842746010263691,0.001270194679698667,0.7714285714285715,0.8285714285714286,0.09957688505361117,0.11864479921281332,0.0907749928031718,0.33712170227724697,0.9217877094972067
austria-2026,mixedlm_x_regime,40,0.039131450715694335,-0.020336599789848298,0.675,0.7,0.10581630270170798,0.12607899896373717,-0.04733347622066019,0.3655902359136538,0.9035532994923858
austria-2026,season_loo,40,0.043465072922383635,0.030776251735107417,0.7,0.775,0.10581630270170798,0.12607899896373717,0.014648609880094107,0.38383565664340585,0.9035532994923858
austria-2026,zero,40,0.07443690723832506,0.07305355563430492,0.225,0.35,0.10581630270170798,0.12607899896373717,,0.5016034151596898,0.8291032148900169
austria-2026,oracle_race,40,0.03030068310231268,0.0008224511836717914,0.8,0.85,0.10581630270170798,0.12607899896373714,9.516176339209294e-05,0.35029509607573145,0.9137055837563451
belgium-2026,sealed,19,0.029157729644703912,-0.01120004180615462,1.0,1.0,0.16185730305166315,0.19358295763253705,0.09062179550303358,0.2842169213369131,0.9674556213017751
belgium-2026,sealed_v3,19,0.029157729644703912,-0.01120004180615462,1.0,1.0,0.16185730305166315,0.19358295763253705,0.09062179550303358,0.2842169213369131,0.9674556213017751
belgium-2026,practice_only,19,0.03304920170431695,-0.018582188283293957,1.0,1.0,0.17851357009343688,0.21448203726034257,-0.21632479346936878,0.2959486043177876,0.9792899408284024
belgium-2026,practice_no_regime,19,0.11472116928788523,-0.11472116928788523,0.42105263157894735,0.7368421052631579,0.24135837124098614,0.2875512034206749,-0.5001608434306717,0.6640384063815208,0.8994082840236687
belgium-2026,sealed_geomean,19,0.055808872384120495,-0.05007553670701196,1.0,1.0,0.19325818738502373,0.23134349748653818,0.09030624483859735,0.3914449178905744,0.9615384615384616
belgium-2026,regime_v2_temperature,19,0.05234332650139604,-0.04557471277406841,1.0,1.0,0.19787008306638185,0.23876889933882614,0.012466079943644542,0.37433638879878284,0.9615384615384616
belgium-2026,regime_v3_pooled,19,0.04794604272256608,-0.03995260086114238,1.0,1.0,0.1850374540936881,0.22145070981006745,0.12987839845850518,0.35446868478384314,0.9674556213017751
belgium-2026,regime_v3_circuit,19,0.02915772988380401,-0.01120004255129185,1.0,1.0,0.1618573030516635,0.19358295763253744,0.008511119927611437,0.2842169213369131,0.9674556213017751
belgium-2026,regime_oracle_temperature,19,0.025627383679573613,0.0028107828556544713,1.0,1.0,0.1505564742699622,0.17999604941611091,0.028331999871919412,0.2744625788455285,0.9615384615384616
belgium-2026,sealed_perfect_t,19,0.025627383679573613,0.0028107828556544713,1.0,1.0,0.1505564742699622,0.17999604941611091,0.028331999871919412,0.2744625788455285,0.9615384615384616
belgium-2026,sealed_driver,19,0.028579420598934025,-0.018292434804294228,1.0,1.0,0.1676367033015486,0.20053284240548336,0.18070175438596495,0.2842169213369131,0.9674556213017751
belgium-2026,sealed_driver_hist,19,0.028579420598934025,-0.018292434804294228,1.0,1.0,0.1676367033015486,0.20053284240548336,0.18070175438596495,0.2842169213369131,0.9674556213017751
belgium-2026,sealed_driver_practice_dev,19,0.029776866521699915,-0.011666139756965033,1.0,1.0,0.16221226125913482,0.19400732126579795,0.15752829240256547,0.2842169213369131,0.9674556213017751
belgium-2026,sealed_driver_team_pooled,19,0.030155180567335408,-0.011993997176223558,1.0,1.0,0.16248306932660034,0.19433400321507852,0.041264282804444996,0.2842169213369131,0.9674556213017751
belgium-2026,history_only,19,0.02618248287237593,0.005806058865899328,0.8947368421052632,0.8947368421052632,0.0955902737665993,0.11389479427509704,-0.13252527616584803,0.2778467116841316,0.9556213017751479
belgium-2026,mixedlm_x_regime,19,0.031448346385893236,-0.012315566316550869,0.8421052631578947,0.9473684210526315,0.09559027376659933,0.11389479427509704,-0.41941089967397416,0.2859042710402173,0.9585798816568047
belgium-2026,season_loo,19,0.04160279272841898,0.03090300078197454,0.5789473684210527,0.6842105263157895,0.09559027376659933,0.11389479427509704,-0.18346003480488593,0.3052344476101753,0.9319526627218935
belgium-2026,zero,19,0.07084107307829227,0.07084107307829227,0.21052631578947367,0.2631578947368421,0.09559027376659932,0.11389479427509704,,0.42882301816495044,0.8609467455621301
